VendorNumber,VendorName,InvoiceDate,PONumber,PODate,PayDate,Quantity,Dollars,Freight,Approval
9815,WINE GROUP INC             ,2016-01-06,8190,2015-12-24,2016-02-08,3532,21330.38,580.64,None
516,BANFI PRODUCTS CORP        ,2016-01-14,8208,2015-12-27,2016-02-21,5458,41823.14,204.93,None
1128,BROWN-FORMAN CORP          ,2016-01-15,8210,2015-12-27,2016-02-25,23351,298902.89,1494.51,Frank Delahunt
90046,CANDIA VINEYARDS           ,2016-01-17,8235,2015-12-29,2016-02-14,132,1639.2,8.36,None
1392,CONSTELLATION BRANDS INC   ,2016-01-12,8252,2015-12-30,2016-02-11,36543,248369.62,1291.52,None
1590,DIAGEO CHATEAU ESTATE WINES,2016-01-12,8289,2016-01-01,2016-02-22,4612,31455.1,163.57,None
2555,DISARONNO INTERNATIONAL LLC,2016-01-12,8237,2015-12-29,2016-02-16,2279,21305.64,106.53,None
3252,E & J GALLO WINERY         ,2016-01-18,8238,2015-12-29,2016-02-14,36991,238980.15,1194.9,None
9744,FREDERICK WILDMAN & SONS   ,2016-01-17,8291,2016-01-01,2016-02-13,2096,16605.64,84.69,None
3924,HEAVEN HILL DISTILLERIES   ,2016-01-18,8273,2015-12-31,2016-02-15,5696,49644.13,243.26,None
12546,JIM BEAM BRANDS COMPANY    ,2016-01-16,8241,2015-12-29,2016-02-15,56213,559691.95,2910.4,Frank Delahunt
8352,LUXCO INC                  ,2016-01-14,8224,2015-12-28,2016-02-22,5715,43820.57,197.19,None
9552,M S WALKER INC             ,2016-01-12,8216,2015-12-27,2016-02-23,30388,236369.61,1134.57,None
4425,MARTIGNETTI COMPANIES,2016-01-18,8276,2015-12-31,2016-02-28,42400,458222.53,2336.93,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-01-15,8278,2015-12-31,2016-02-15,7717,158211.28,838.52,None
10754,PERFECTA WINES             ,2016-01-15,8298,2016-01-01,2016-02-16,14881,164345.2,739.55,None
17035,PERNOD RICARD USA          ,2016-01-13,8257,2015-12-30,2016-02-25,32002,467506.21,2477.78,Frank Delahunt
7153,PINE STATE TRADING CO      ,2016-01-14,8226,2015-12-28,2016-02-16,9824,63606.79,324.39,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-01-17,8304,2016-01-01,2016-02-20,7400,62279.51,336.31,None
9819,TREASURY WINE ESTATES      ,2016-01-16,8282,2015-12-31,2016-02-22,6780,40265.24,197.3,None
8892,TRINCHERO FAMILY ESTATES   ,2016-01-19,8283,2015-12-31,2016-02-16,7963,47561.83,228.3,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-01-16,8219,2015-12-27,2016-02-26,18593,224355.5,1189.08,None
90024,VINILANDIA USA             ,2016-01-18,8268,2015-12-30,2016-02-18,1020,9399.35,49.82,None
3664,WILLIAM GRANT & SONS INC   ,2016-01-14,8233,2015-12-28,2016-02-12,4187,74151.99,385.59,None
9815,WINE GROUP INC             ,2016-01-18,8285,2015-12-31,2016-02-23,17051,101701.15,518.68,None
516,BANFI PRODUCTS CORP        ,2016-01-21,8339,2016-01-05,2016-02-20,4381,29909.78,140.58,None
1392,CONSTELLATION BRANDS INC   ,2016-01-21,8360,2016-01-06,2016-02-25,23613,163665.26,900.16,None
1590,DIAGEO CHATEAU ESTATE WINES,2016-01-18,8325,2016-01-04,2016-02-28,2658,18373.15,95.54,None
3252,E & J GALLO WINERY         ,2016-01-22,8326,2016-01-04,2016-02-27,22337,151950.9,698.97,None
9744,FREDERICK WILDMAN & SONS   ,2016-01-24,8382,2016-01-07,2016-02-22,1886,16996.3,93.48,None
3924,HEAVEN HILL DISTILLERIES   ,2016-01-20,8343,2016-01-05,2016-02-18,3716,33078.04,168.7,None
12546,JIM BEAM BRANDS COMPANY    ,2016-01-20,8330,2016-01-04,2016-02-19,39001,382617.62,2027.87,Frank Delahunt
8352,LUXCO INC                  ,2016-01-22,8344,2016-01-05,2016-03-03,4226,28477.46,142.39,None
9552,M S WALKER INC             ,2016-01-19,8345,2016-01-05,2016-03-02,18247,173132.79,865.66,None
4425,MARTIGNETTI COMPANIES,2016-01-26,8331,2016-01-04,2016-02-28,28412,291914.17,1517.95,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-01-21,8348,2016-01-05,2016-03-01,3519,64917.6,324.59,None
10754,PERFECTA WINES             ,2016-01-23,8395,2016-01-08,2016-02-27,6644,58586.59,322.23,None
7153,PINE STATE TRADING CO      ,2016-01-26,8349,2016-01-05,2016-03-03,5868,39989.32,203.95,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-01-21,8319,2016-01-03,2016-03-04,5024,40163.56,180.74,None
9819,TREASURY WINE ESTATES      ,2016-01-24,8355,2016-01-05,2016-02-21,4363,36291.13,163.31,None
8892,TRINCHERO FAMILY ESTATES   ,2016-01-22,8399,2016-01-08,2016-03-05,6403,39187.13,195.94,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-01-19,8371,2016-01-06,2016-02-24,18575,205977.11,947.49,None
9815,WINE GROUP INC             ,2016-01-19,8401,2016-01-08,2016-03-03,12254,80656.07,411.35,None
480,BACARDI USA INC            ,2016-01-29,8433,2016-01-12,2016-03-10,16160,150950.37,815.13,None
516,BANFI PRODUCTS CORP        ,2016-02-01,8402,2016-01-10,2016-03-09,4252,30048.37,162.26,None
1392,CONSTELLATION BRANDS INC   ,2016-01-30,8419,2016-01-11,2016-03-01,24638,161291.06,758.07,None
3252,E & J GALLO WINERY         ,2016-01-25,8438,2016-01-12,2016-03-12,23396,156914.13,847.34,None
9744,FREDERICK WILDMAN & SONS   ,2016-01-30,8440,2016-01-12,2016-03-04,1952,24450.41,134.48,None
3924,HEAVEN HILL DISTILLERIES   ,2016-01-26,8472,2016-01-14,2016-03-06,4301,33870.43,182.9,None
12546,JIM BEAM BRANDS COMPANY    ,2016-01-28,8443,2016-01-12,2016-03-04,52651,314118.79,1602.01,Frank Delahunt
8352,LUXCO INC                  ,2016-01-27,8445,2016-01-12,2016-02-27,3942,26348.0,137.01,None
9552,M S WALKER INC             ,2016-01-30,8462,2016-01-13,2016-03-08,19097,161003.31,772.82,None
4425,MARTIGNETTI COMPANIES,2016-01-25,8426,2016-01-11,2016-03-13,28747,326842.06,1568.84,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-01-28,8407,2016-01-10,2016-03-13,2687,59737.61,316.61,None
10754,PERFECTA WINES             ,2016-02-01,8408,2016-01-10,2016-03-06,7735,83238.19,457.81,None
7153,PINE STATE TRADING CO      ,2016-02-01,8490,2016-01-15,2016-02-26,6330,41293.25,222.98,None
7245,PROXIMO SPIRITS INC.       ,2016-01-28,8491,2016-01-15,2016-03-11,7786,84159.97,446.05,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-01-31,8450,2016-01-12,2016-03-08,6006,52102.03,265.72,None
9819,TREASURY WINE ESTATES      ,2016-02-01,8453,2016-01-12,2016-02-27,5585,32420.84,152.38,None
8892,TRINCHERO FAMILY ESTATES   ,2016-01-29,8415,2016-01-10,2016-03-03,5329,33618.19,174.81,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-01-29,8481,2016-01-14,2016-02-26,14792,209201.57,1046.01,None
9815,WINE GROUP INC             ,2016-01-27,8455,2016-01-12,2016-03-12,12967,78707.63,425.02,None
516,BANFI PRODUCTS CORP        ,2016-02-06,8570,2016-01-21,2016-03-20,5023,35384.6,162.77,None
1128,BROWN-FORMAN CORP          ,2016-02-06,8517,2016-01-18,2016-03-15,23217,335055.84,1708.78,Frank Delahunt
90046,CANDIA VINEYARDS           ,2016-02-06,8535,2016-01-19,2016-03-15,48,634.5,3.49,None
1392,CONSTELLATION BRANDS INC   ,2016-02-03,8522,2016-01-18,2016-03-14,41912,263882.43,1372.19,Frank Delahunt
1590,DIAGEO CHATEAU ESTATE WINES,2016-02-06,8574,2016-01-21,2016-03-16,2435,17118.62,90.73,None
3252,E & J GALLO WINERY         ,2016-02-07,8537,2016-01-19,2016-03-08,30013,205882.81,1132.36,None
9744,FREDERICK WILDMAN & SONS   ,2016-02-04,8551,2016-01-20,2016-03-06,3096,26112.12,125.34,None
3924,HEAVEN HILL DISTILLERIES   ,2016-02-06,8525,2016-01-18,2016-03-12,3828,35863.26,175.73,None
12546,JIM BEAM BRANDS COMPANY    ,2016-02-02,8503,2016-01-17,2016-03-08,73562,403519.01,1856.19,Frank Delahunt
8352,LUXCO INC                  ,2016-02-02,8592,2016-01-22,2016-03-20,4057,25458.26,114.56,None
9552,M S WALKER INC             ,2016-02-01,8553,2016-01-20,2016-03-13,25902,195041.48,877.69,None
4425,MARTIGNETTI COMPANIES,2016-02-09,8529,2016-01-18,2016-03-05,38833,447992.41,2463.96,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-02-06,8506,2016-01-17,2016-03-10,12437,244562.09,1198.35,None
10754,PERFECTA WINES             ,2016-02-07,8594,2016-01-22,2016-03-16,12895,126698.89,646.16,None
17035,PERNOD RICARD USA          ,2016-02-06,8507,2016-01-17,2016-03-09,19883,280480.61,1542.64,Frank Delahunt
7153,PINE STATE TRADING CO      ,2016-02-07,8558,2016-01-20,2016-03-07,11032,80596.41,435.22,None
7245,PROXIMO SPIRITS INC.       ,2016-02-09,8595,2016-01-22,2016-03-13,10260,115110.5,587.06,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-02-02,8598,2016-01-22,2016-03-08,11024,108236.18,562.83,None
9819,TREASURY WINE ESTATES      ,2016-02-07,8600,2016-01-22,2016-03-10,15535,91556.42,421.16,None
8892,TRINCHERO FAMILY ESTATES   ,2016-02-08,8566,2016-01-20,2016-03-13,6435,40265.09,181.19,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-02-02,8513,2016-01-17,2016-03-13,25423,337491.88,1552.46,Frank Delahunt
3664,WILLIAM GRANT & SONS INC   ,2016-02-07,8516,2016-01-17,2016-03-18,5376,114038.74,604.41,None
9815,WINE GROUP INC             ,2016-02-03,8602,2016-01-22,2016-03-10,21358,118717.18,617.33,None
516,BANFI PRODUCTS CORP        ,2016-02-08,8632,2016-01-26,2016-03-16,4266,28959.56,159.28,None
1128,BROWN-FORMAN CORP          ,2016-02-15,8689,2016-01-29,2016-03-24,18863,250689.87,1328.66,Frank Delahunt
90046,CANDIA VINEYARDS           ,2016-02-11,8620,2016-01-25,2016-03-10,144,1981.68,10.3,None
1392,CONSTELLATION BRANDS INC   ,2016-02-13,8691,2016-01-29,2016-03-16,32095,216806.35,1062.35,None
3252,E & J GALLO WINERY         ,2016-02-15,8624,2016-01-25,2016-03-25,28907,198720.32,993.6,None
9744,FREDERICK WILDMAN & SONS   ,2016-02-08,8625,2016-01-25,2016-03-23,951,10825.34,53.04,None
3924,HEAVEN HILL DISTILLERIES   ,2016-02-13,8682,2016-01-28,2016-03-21,4835,45733.75,228.67,None
12546,JIM BEAM BRANDS COMPANY    ,2016-02-14,8659,2016-01-27,2016-03-19,55209,470641.25,2447.33,Frank Delahunt
8352,LUXCO INC                  ,2016-02-10,8639,2016-01-26,2016-03-25,5016,31641.97,167.7,None
9552,M S WALKER INC             ,2016-02-12,8626,2016-01-25,2016-03-19,22558,175471.77,894.91,None
4425,MARTIGNETTI COMPANIES,2016-02-14,8696,2016-01-29,2016-03-25,36056,421757.88,2235.32,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-02-10,8661,2016-01-27,2016-03-19,8259,185662.49,1002.58,None
10754,PERFECTA WINES             ,2016-02-16,8628,2016-01-25,2016-03-16,7874,78670.16,377.62,None
17035,PERNOD RICARD USA          ,2016-02-08,8609,2016-01-24,2016-03-17,22766,323620.48,1650.46,Frank Delahunt
7153,PINE STATE TRADING CO      ,2016-02-11,8663,2016-01-27,2016-03-25,10695,64014.54,313.67,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-02-10,8668,2016-01-27,2016-03-17,14808,134148.67,670.74,None
9819,TREASURY WINE ESTATES      ,2016-02-16,8647,2016-01-26,2016-03-10,8233,48241.17,236.38,None
8892,TRINCHERO FAMILY ESTATES   ,2016-02-11,8648,2016-01-26,2016-03-11,6040,38034.39,174.96,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-02-13,8688,2016-01-28,2016-03-21,18540,224163.93,1232.9,None
90024,VINILANDIA USA             ,2016-02-12,8674,2016-01-27,2016-03-27,917,8114.22,36.51,None
9815,WINE GROUP INC             ,2016-02-14,8651,2016-01-26,2016-03-15,17267,100778.73,493.82,None
516,BANFI PRODUCTS CORP        ,2016-02-20,8705,2016-01-31,2016-03-26,2519,17609.83,82.77,None
1128,BROWN-FORMAN CORP          ,2016-02-23,8742,2016-02-02,2016-03-17,11876,165219.61,743.49,None
90046,CANDIA VINEYARDS           ,2016-02-18,8780,2016-02-04,2016-03-25,86,1410.98,7.62,None
1392,CONSTELLATION BRANDS INC   ,2016-02-19,8781,2016-02-04,2016-03-28,25061,164809.59,873.49,None
1590,DIAGEO CHATEAU ESTATE WINES,2016-02-22,8797,2016-02-05,2016-03-30,2821,22399.94,114.24,None
3252,E & J GALLO WINERY         ,2016-02-15,8722,2016-02-01,2016-03-26,23425,163511.77,866.61,None
3924,HEAVEN HILL DISTILLERIES   ,2016-02-17,8710,2016-01-31,2016-03-25,4536,40395.94,210.06,None
12546,JIM BEAM BRANDS COMPANY    ,2016-02-19,8800,2016-02-05,2016-04-01,36221,293274.0,1613.01,Frank Delahunt
8352,LUXCO INC                  ,2016-02-16,8711,2016-01-31,2016-03-28,4470,29572.79,153.78,None
9552,M S WALKER INC             ,2016-02-23,8712,2016-01-31,2016-03-20,19400,148860.92,818.74,None
4425,MARTIGNETTI COMPANIES,2016-02-17,8726,2016-02-01,2016-03-24,30787,337443.53,1720.96,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-02-19,8727,2016-02-01,2016-04-01,5756,124709.7,636.02,None
10754,PERFECTA WINES             ,2016-02-20,8729,2016-02-01,2016-03-25,12148,114985.16,551.93,None
17035,PERNOD RICARD USA          ,2016-02-17,8805,2016-02-05,2016-03-22,20302,271024.21,1273.81,Frank Delahunt
7153,PINE STATE TRADING CO      ,2016-02-22,8749,2016-02-02,2016-03-21,5272,34113.93,177.39,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-02-19,8735,2016-02-01,2016-04-01,6554,58128.38,319.71,None
9819,TREASURY WINE ESTATES      ,2016-02-23,8757,2016-02-02,2016-04-01,7176,45925.35,215.85,None
8892,TRINCHERO FAMILY ESTATES   ,2016-02-17,8774,2016-02-03,2016-03-18,4069,26388.9,126.67,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-02-17,8739,2016-02-01,2016-03-23,14392,172532.77,897.17,None
90024,VINILANDIA USA             ,2016-02-23,8775,2016-02-03,2016-03-24,692,6950.75,33.36,None
9815,WINE GROUP INC             ,2016-02-19,8718,2016-01-31,2016-03-27,12163,76385.9,412.48,None
516,BANFI PRODUCTS CORP        ,2016-02-28,8860,2016-02-10,2016-04-03,3039,21701.14,115.02,None
1392,CONSTELLATION BRANDS INC   ,2016-02-23,8897,2016-02-12,2016-04-10,27441,167405.64,770.07,None
1590,DIAGEO CHATEAU ESTATE WINES,2016-02-22,8898,2016-02-12,2016-03-29,2217,17090.76,87.16,None
3252,E & J GALLO WINERY         ,2016-02-25,8879,2016-02-11,2016-04-06,27341,186668.7,989.34,None
9744,FREDERICK WILDMAN & SONS   ,2016-02-23,8828,2016-02-08,2016-04-09,988,9805.88,49.03,None
3924,HEAVEN HILL DISTILLERIES   ,2016-03-01,8810,2016-02-07,2016-03-31,4936,43503.79,226.22,None
12546,JIM BEAM BRANDS COMPANY    ,2016-02-22,8903,2016-02-12,2016-03-29,43499,349034.5,1814.98,Frank Delahunt
8352,LUXCO INC                  ,2016-02-27,8812,2016-02-07,2016-03-30,5664,43660.27,196.47,None
9552,M S WALKER INC             ,2016-02-26,8865,2016-02-10,2016-04-01,20787,149413.91,821.78,None
4425,MARTIGNETTI COMPANIES,2016-03-01,8830,2016-02-08,2016-03-25,30193,322094.29,1481.63,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-02-25,8832,2016-02-08,2016-03-27,4696,88961.9,489.29,None
10754,PERFECTA WINES             ,2016-02-22,8851,2016-02-09,2016-03-28,6201,60511.39,278.35,None
7153,PINE STATE TRADING CO      ,2016-02-23,8815,2016-02-07,2016-03-29,5961,40679.06,211.53,None
7245,PROXIMO SPIRITS INC.       ,2016-02-28,8852,2016-02-09,2016-04-04,9214,104723.79,523.62,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-03-01,8911,2016-02-12,2016-04-03,5880,56274.03,287.0,None
9819,TREASURY WINE ESTATES      ,2016-03-01,8888,2016-02-11,2016-04-10,6688,40254.85,201.27,None
8892,TRINCHERO FAMILY ESTATES   ,2016-02-28,8857,2016-02-09,2016-03-26,5246,32984.63,174.82,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-02-28,8824,2016-02-07,2016-03-30,12930,156318.62,812.86,None
90024,VINILANDIA USA             ,2016-02-22,8875,2016-02-10,2016-04-07,891,8477.51,42.39,None
9815,WINE GROUP INC             ,2016-02-23,8876,2016-02-10,2016-04-05,12723,78956.49,394.78,None
516,BANFI PRODUCTS CORP        ,2016-03-07,8996,2016-02-19,2016-04-14,2782,18983.48,98.71,None
90046,CANDIA VINEYARDS           ,2016-03-03,8924,2016-02-15,2016-04-04,57,974.25,4.77,None
1392,CONSTELLATION BRANDS INC   ,2016-03-06,8981,2016-02-18,2016-04-17,54005,351339.49,1897.23,Frank Delahunt
1590,DIAGEO CHATEAU ESTATE WINES,2016-03-07,8965,2016-02-17,2016-04-10,1644,11665.46,64.16,None
3252,E & J GALLO WINERY         ,2016-02-29,8999,2016-02-19,2016-04-10,39725,269463.12,1212.58,Frank Delahunt
9744,FREDERICK WILDMAN & SONS   ,2016-03-03,8983,2016-02-18,2016-04-13,784,8062.68,40.31,None
3924,HEAVEN HILL DISTILLERIES   ,2016-03-08,8985,2016-02-18,2016-04-05,5482,45457.32,218.2,None
12546,JIM BEAM BRANDS COMPANY    ,2016-03-07,8928,2016-02-15,2016-04-03,48620,420607.81,2018.92,Frank Delahunt
8352,LUXCO INC                  ,2016-02-29,8929,2016-02-15,2016-04-12,5117,35091.02,168.44,None
9552,M S WALKER INC             ,2016-03-05,8916,2016-02-14,2016-04-14,33229,203918.36,1121.55,None
4425,MARTIGNETTI COMPANIES,2016-02-29,8917,2016-02-14,2016-04-15,47119,401827.41,1808.22,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-02-29,9002,2016-02-19,2016-04-05,5365,108549.52,510.18,None
10754,PERFECTA WINES             ,2016-03-03,8989,2016-02-18,2016-04-10,13919,104300.09,490.21,None
7153,PINE STATE TRADING CO      ,2016-03-08,9004,2016-02-19,2016-04-14,5596,38942.84,190.82,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-02-29,8974,2016-02-17,2016-04-04,5668,52614.03,263.07,None
9819,TREASURY WINE ESTATES      ,2016-03-01,9009,2016-02-19,2016-04-16,7508,47024.06,239.82,None
8892,TRINCHERO FAMILY ESTATES   ,2016-03-01,9010,2016-02-19,2016-04-03,6475,40115.27,192.55,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-02-29,8942,2016-02-15,2016-04-03,16693,203870.81,1039.74,None
3664,WILLIAM GRANT & SONS INC   ,2016-03-01,8994,2016-02-18,2016-04-16,6231,114517.43,515.33,None
9815,WINE GROUP INC             ,2016-02-29,8943,2016-02-15,2016-04-09,16576,97326.86,457.44,None
516,BANFI PRODUCTS CORP        ,2016-03-14,9046,2016-02-23,2016-04-16,2627,17693.86,79.62,None
1392,CONSTELLATION BRANDS INC   ,2016-03-13,9065,2016-02-24,2016-04-13,36477,246611.41,1233.06,None
1590,DIAGEO CHATEAU ESTATE WINES,2016-03-15,9097,2016-02-26,2016-04-21,1923,15325.04,68.96,None
3252,E & J GALLO WINERY         ,2016-03-07,9035,2016-02-22,2016-04-15,27972,196885.44,905.67,None
9744,FREDERICK WILDMAN & SONS   ,2016-03-11,9037,2016-02-22,2016-04-23,656,6646.77,31.9,None
3924,HEAVEN HILL DISTILLERIES   ,2016-03-11,9068,2016-02-24,2016-04-11,6997,41070.22,188.92,None
12546,JIM BEAM BRANDS COMPANY    ,2016-03-07,9087,2016-02-25,2016-04-14,42366,352234.19,1620.28,Frank Delahunt
8352,LUXCO INC                  ,2016-03-08,9069,2016-02-24,2016-04-12,4398,34198.36,157.31,None
9552,M S WALKER INC             ,2016-03-11,9049,2016-02-23,2016-04-13,21263,147815.75,694.73,None
4425,MARTIGNETTI COMPANIES,2016-03-13,9104,2016-02-26,2016-04-13,31903,281229.61,1490.52,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-03-09,9025,2016-02-21,2016-04-08,3920,67791.83,318.62,None
10754,PERFECTA WINES             ,2016-03-13,9038,2016-02-22,2016-04-10,10096,80831.73,387.99,None
17035,PERNOD RICARD USA          ,2016-03-09,9028,2016-02-21,2016-04-08,24956,373558.63,1718.37,Frank Delahunt
7153,PINE STATE TRADING CO      ,2016-03-15,9091,2016-02-25,2016-04-15,4978,34428.27,182.47,None
7245,PROXIMO SPIRITS INC.       ,2016-03-13,9073,2016-02-24,2016-04-19,14656,178499.09,874.65,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-03-07,9078,2016-02-24,2016-04-24,4749,40257.84,181.16,None
9819,TREASURY WINE ESTATES      ,2016-03-11,9041,2016-02-22,2016-04-20,5085,30213.67,148.05,None
8892,TRINCHERO FAMILY ESTATES   ,2016-03-12,9109,2016-02-26,2016-04-15,4998,31176.3,162.12,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-03-13,9081,2016-02-24,2016-04-10,14363,175289.35,788.8,None
90024,VINILANDIA USA             ,2016-03-08,9043,2016-02-22,2016-04-16,898,8065.15,39.52,None
9815,WINE GROUP INC             ,2016-03-13,9045,2016-02-22,2016-04-08,15777,94686.98,511.31,None
516,BANFI PRODUCTS CORP        ,2016-03-14,9132,2016-02-29,2016-04-21,3027,21072.23,109.58,None
1128,BROWN-FORMAN CORP          ,2016-03-17,9181,2016-03-03,2016-04-18,14855,170276.77,902.47,None
1392,CONSTELLATION BRANDS INC   ,2016-03-16,9134,2016-02-29,2016-04-28,34613,227509.18,1023.79,None
1590,DIAGEO CHATEAU ESTATE WINES,2016-03-21,9167,2016-03-02,2016-04-26,1684,13960.12,68.4,None
3252,E & J GALLO WINERY         ,2016-03-18,9169,2016-03-02,2016-04-26,24381,163113.82,799.26,None
9744,FREDERICK WILDMAN & SONS   ,2016-03-21,9184,2016-03-03,2016-04-17,791,8341.36,44.21,None
3924,HEAVEN HILL DISTILLERIES   ,2016-03-21,9116,2016-02-28,2016-04-26,5124,39037.09,195.19,None
12546,JIM BEAM BRANDS COMPANY    ,2016-03-19,9118,2016-02-28,2016-04-21,43098,404299.74,1900.21,Frank Delahunt
8352,LUXCO INC                  ,2016-03-21,9153,2016-03-01,2016-04-19,3814,29404.46,155.84,None
9552,M S WALKER INC             ,2016-03-16,9119,2016-02-28,2016-04-21,20549,147984.0,665.93,None
4425,MARTIGNETTI COMPANIES,2016-03-20,9140,2016-02-29,2016-04-16,48908,414544.2,1865.45,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-03-16,9171,2016-03-02,2016-04-20,4186,78589.73,353.65,None
10754,PERFECTA WINES             ,2016-03-20,9155,2016-03-01,2016-04-21,9437,94060.62,517.33,None
17035,PERNOD RICARD USA          ,2016-03-17,9156,2016-03-01,2016-04-30,26938,364414.82,1676.31,Frank Delahunt
7153,PINE STATE TRADING CO      ,2016-03-17,9172,2016-03-02,2016-04-28,4977,36173.12,191.72,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-03-15,9208,2016-03-04,2016-04-21,4631,35842.96,179.21,None
9819,TREASURY WINE ESTATES      ,2016-03-18,9209,2016-03-04,2016-04-20,8410,53093.04,276.08,None
8892,TRINCHERO FAMILY ESTATES   ,2016-03-16,9210,2016-03-04,2016-04-30,4424,26775.85,123.17,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-03-16,9148,2016-02-29,2016-04-25,13004,177584.33,905.68,None
90024,VINILANDIA USA             ,2016-03-18,9194,2016-03-03,2016-04-24,892,8232.01,38.69,None
9815,WINE GROUP INC             ,2016-03-22,9150,2016-02-29,2016-04-18,15115,88478.31,442.39,None
516,BANFI PRODUCTS CORP        ,2016-03-23,9301,2016-03-11,2016-04-27,2910,18325.33,89.79,None
90046,CANDIA VINEYARDS           ,2016-03-25,9280,2016-03-10,2016-04-27,48,483.0,2.32,None
1392,CONSTELLATION BRANDS INC   ,2016-03-28,9283,2016-03-10,2016-04-27,27345,173680.82,885.77,None
2555,DISARONNO INTERNATIONAL LLC,2016-03-27,9259,2016-03-09,2016-05-08,1324,14815.94,74.08,None
3252,E & J GALLO WINERY         ,2016-03-21,9260,2016-03-09,2016-05-03,21411,140925.87,718.72,None
3924,HEAVEN HILL DISTILLERIES   ,2016-03-21,9231,2016-03-07,2016-04-28,4847,39368.55,204.72,None
12546,JIM BEAM BRANDS COMPANY    ,2016-03-23,9305,2016-03-11,2016-04-25,40321,333536.88,1834.45,Frank Delahunt
